,,,,,,,,,Nutritional Panel (per 100g),,,,,,,Balancing fields,,,,,,,Calculated field,Calculated field,Calculated field,Calculated field,Calculated field,Recipe Ranges,,Cost,,,,,,,,,Chocolate,,,Allergens,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Category,Type,Ingredient,Component,Preparation,Brand,Food Composition ID,"Energy, FSANZ",Protein,"Fat, total","Fat, saturated (SFA)","Carbohydrate, available","Sugars, total",Sodium (mg),Water,Lactose,Sucrose,Fructose,Glucose,Alcohol,Dextrose,Total solids,Other solids,MSNF,PAC,POD,Min range,Max range,Supplier,Supplier code,Package size,Cost per pack (GST excl),Cost per pack,Price last updated,Initial cost per kg,% of useful product,Cost per kg,HF,Dry Cocoa solids (without fat),Cocoa butter,Wheat,​Fish,​Crustacean,​Mollusc,​Egg,​Milk,​Lupin,​Peanut,"​Soy, Soya, Soybean",​Sesame,​Almond,​Brazil Nut,​Cashew,​Hazelnut,​Macadamia,​Pecan,​Pistachio,​Pine Nut,​Walnut,​Barley*,​Oats*,​Rye*,​Sulphites**,FY24/25 Stocktake
Apple compote,"Active, completed",Mix-in,z.Topping,Apple compote,,,Homemade,,452.77,0.20,0.19,0.01,25.18,29.27,14.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$4.79,$5.50,,,,$5.50,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Apple crumble,"Active, completed",Mix-in,z.Topping,Apple crumble,,,Homemade,,2297.80,1.47,23.99,15.13,57.69,44.14,511.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$6.09,$7.00,,,,$7.00,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Apple juice, juice (Homegrown)","Active, incomplete",Fruit,Wet,Apple juice,juice,,Homegrown,,207,0.3,0.6,0.1,11.2,10.4,1,87.3,0,0,10.4,0,0,0,12.7,0.0,0.0,19.8,17.7,,,Pak n Save,,1475,$5.21,$5.99,,,,$4.06,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Apple, baked","Inactive, incomplete",Fruit,,,,,,,,0.32,3.08,,,19,10,73.6,0,6,11,2,0,0,26.4,4.0,0.0,30.7,26.1,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Apples, granny smith, flesh, raw","Active, completed",Fruit,Wet,"Apples, granny smith",flesh,raw,,L1152,186,0.3,0.3,0.02,8.8,8.5,0,85.9,0,1.7,4.9,1.9,0,0,14.1,5.0,0.0,14.6,11.4,,,Pak N Save,,1000,$4.96,$5.70,,3.99,70%,$5.70,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Apricot 'Moorpark', flesh and skin, raw (Generic)","Inactive, incomplete",Fruit,,Apricot 'Moorpark',flesh and skin,raw,Generic,L19,,0.6,0.4,,,9.5,30,86.2,0,6.7,0.5,2.3,0,0,13.8,3.3,0.0,12.0,9.2,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Atomised glucose 17 DE,"Inactive, incomplete",Sugar,,Atomised glucose 17 DE,,,,,1607,0.3,0,0,94.2,14.45,30,6,0,0,0,#REF!,,,,,,#REF!,9.0,,,,,25000,$78.00,$89.70,,,,$3.59,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Atomised glucose 21 DE,"Active, completed",Sugar,Dry,Atomised glucose 21 DE,,,Tereos,,,0,0,,95,10.53,150,5,0,0,0,#REF!,0,0,95.0,84.3,0.0,#REF!,10.0,25,50,Equagold,,5000,$51.15,$58.82,8-May-2025,,,$11.76,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,15kg
Atomised glucose 33 DE,"Inactive, incomplete",Sugar,,Atomised glucose 33 DE,,,,,,0,0,,95,25,40,6,0,0,0,#REF!,0,,94.0,69.0,0.0,#REF!,24.0,26,52,Reso Fine Foods,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Atomised glucose 38 DE,"Inactive, incomplete",Sugar,,,,,,,,0,0,,95,#REF!,40,5,0,0,0,#REF!,0,0,95.0,#REF!,0.0,#REF!,30.0,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Bacon, streaky (Medallion)","Active, completed",Other,z.Topping,"Bacon, streaky",,,Medallion,N1049,1830,34.1,33.8,11.2,0,0,,25.4,0,0,0,0,0,,74.6,6.7,0.0,0.0,0.0,,,Pams,,800,$11.30,$12.99,,,,$16.24,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Baking powder (Hansells),"Active, completed",Other,Dry,Baking powder,,,Hansells,P1,681,5.7,0,0,34.4,0,,6.3,0,0,0,0,0,,93.7,88.0,0.0,0.0,0.0,,,Pak n Save,,150,$3.03,$3.49,,,,$23.27,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Baking soda (Pams),"Active, completed",Other,Dry,Baking soda,,,Pams,P1,681,5.7,0,0,34.4,0,,6.3,0,0,0,0,0,,93.7,88.0,0.0,0.0,0.0,,,Pak n Save,,500,$1.73,$1.99,,,,$3.98,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Balsamic vinegar (Delmaine),"Active, completed",Flavour,Wet,Balsamic vinegar,,,Delmaine,,364,0,0,0,16,16,5,76.4,0,0,8,8,0,0,23.6,7.6,0.0,30.4,19.2,,,Pak n Save,,500,$5.82,$6.69,,,,$13.38,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Banana 'Yellow', flesh, raw (Generic)","Inactive, incomplete",Fruit,,Banana 'Yellow',flesh,raw,Generic,L1101,,1,0.3,,,15.2,0,74.6,0,5,5.1,5.1,0,0,25.4,8.9,0.0,24.4,17.2,,,Pak n save,,1000,$3.49,$3.49,,3.49,,$3.49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Basil,"Inactive, incomplete",Other,,,,,,,,,,,,,0,,,,,,,,,0.0,0.0,0.0,,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Beer,"Inactive, incomplete",Alcohol,,Beer,,,Generic,,,0.5,0,,,2,40,91,0,0,2,0,8,0,9.0,6.5,0.0,63.0,3.4,,,Pak n Save,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Beetroot (fresh),"Inactive, incomplete",Vegetable,,Beetroot,whole,peeled,Generic,X1165,,1.4,0.1,,,5.1,560,88.6,0,5.1,0,0,0,0,11.4,4.2,0.0,5.1,5.1,,,Pak n save,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Beetroot, flesh, baked","Inactive, incomplete",Vegetable,,Beetroot,flesh,baked,,X1166,160,1.7,0.2,0.03,6.4,6.4,67,87,0,6.4,0,0,0,0,13.0,4.6,0.0,6.4,6.4,,,Pak n Save,,1000,$4.69,$5.39,,,,$5.39,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Beetroot, sliced, drained (Generic)","Inactive, incomplete",Vegetable,,Beetroot,sliced,drained,Generic,X1096,220,1,0.2,0.04,10,10,220,86,0,2.8,3.7,3.7,0,0,14.0,2.6,0.0,16.9,11.7,,,,,450,$1.64,$1.89,,,64%,$6.56,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bergamot orange (fresh),"Inactive, incomplete",Fruit,,Bergamot orange,flesh and skin,raw,Generic,L113,,0.6,0.2,,,9.2,20,87.7,0,4.9,2.3,2,0,0,12.3,2.3,0.0,13.1,10.2,,,Reso Fine Food - Boiron,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Black peppercorn, whole, raw (Davis)","Active, completed",Flavour,Dry,Black peppercorn,whole,raw,Davis,P10001,1170,10.4,3.3,1.13,36,0.6,,10.9,0,0,0.2,0.2,0,,89.1,74.8,0.0,0.8,0.5,,,Davis,,50,$3.32,$3.82,,,,$76.40,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Black sesame paste (Beijing Liu Bi Ju),"Inactive, completed",Seed,,"Sesame, 'black'",,paste,Beijing Liu Bi Ju,,2664,24.7,54.3,0.0,13.8,0,5,3.1,0,0,0,0,0,0,96.9,17.9,0.0,0.0,0.0,,,Taiping,,150,$4.77,$5.49,,,,$36.60,76.02,,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,
