,,,,,,,,,Nutritional Panel (per 100g),,,,,,,Balancing fields,,,,,,,Calculated field,Calculated field,Calculated field,Calculated field,Calculated field,Recipe Ranges,,Cost,,,,,,,,,Chocolate,,,Allergens,,,,,,,,,,,,,,,,,,,,,,,
Name,Status,Category,Type,Ingredient,Component,Preparation,Brand,Food Composition ID,"Energy, FSANZ",Protein,"Fat, total","Fat, saturated (SFA)","Carbohydrate, available","Sugars, total",Sodium (mg),Water,Lactose,Sucrose,Fructose,Glucose,Alcohol,Dextrose,Total solids,Other solids,MSNF,PAC,POD,Min range,Max range,Supplier,Supplier code,Package size,Cost per pack (GST excl),Cost per pack,Price last updated,Initial cost per kg,% of useful product,Cost per kg,HF,Dry Cocoa solids (without fat),Cocoa butter,Wheat,​Fish,​Crustacean,​Mollusc,​Egg,​Milk,​Lupin,​Peanut,"​Soy, Soya, Soybean",​Sesame,​Almond,​Brazil Nut,​Cashew,​Hazelnut,​Macadamia,​Pecan,​Pistachio,​Pine Nut,​Walnut,​Barley*,​Oats*,​Rye*,​Sulphites**,FY24/25 Stocktake
"Chocolate couverture, white (Callebaut)","Inactive, completed",Chocolate,,"Chocolate couverture, white",,,Callebaut,,570,6,36.1,21.8,55,54.6,210,1,12.4,42.1,0.2,0.3,0,0,99.0,2.1,0.0,55.3,44.5,,,Equagold,,1000,$15.39,$17.70,,,,$17.70,80.46,30,30,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Chocolate habanero applewood (Culley's),"Active, completed",Flavour,Dry,Chocolate habanero applewood,,,Culley's,,170,1,1,0,8,8,320,71.7,0,8,0,0,0,0,28.3,18.0,0.0,8.0,8.0,,,Countdown,,150,$8.69,$9.99,,,,$66.60,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Chocolate, 100% (AO Cacao)","Active, completed",Chocolate,Dry,"Chocolate, 100%",,,AO Cacao,,2458.38,13.4,50,30,36.6,0,0,0.8,0,0,0,0,0,0,99.2,35.8,0.0,0.0,0.0,,,AO Cacao,,1000,$55.00,$63.25,,,,$63.25,133.56,49,50,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Chocolate, 94% (AO Cacao)","Active, completed",Chocolate,Dry,"Chocolate, 94%",,,AO Cacao,,2536.4,12,52,31,37,4,0,0.8,0,4,0,0,0,0,99.2,31.2,0.0,4.0,4.0,,,AO Cacao,,1000,$55.00,$63.25,,,,$63.25,124.56,43,52,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3kg
"Cinnamon stick, whole, raw (Davis)","Active, completed",Flavour,Dry,Cinnamon stick,whole,raw,Davis,P30,1580,6,20.1,4.39,27,27,,6.9,0,20,0,5,0,,93.1,40.0,0.0,29.5,23.5,,,Davis,,500,$17.22,$19.80,,,,$39.60,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Cinnamon, ground (Essente)","Active, completed",Flavour,Dry,Cinnamon,,ground,Essente,P29,1050,3.9,3.2,0.65,25.5,0,26,9.5,0,0,0,0,0,0,90.5,83.4,0.0,0.0,0.0,,,Davis,CINGPP,1000,$11.13,$12.80,,,,$12.80,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Cinnamon, ground (Mrs Rogers)","Active, completed",Flavour,Dry,Cinnamon,,ground,Mrs Rogers,P29,1050,3.9,3.2,0.65,25.5,0,26,9.5,0,0,0,0,0,0,90.5,83.4,0.0,0.0,0.0,,,Pak n save,,30,$1.90,$2.19,,,,$73.00,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Citric acid (Generic),"Active, completed",Flavour,Dry,Citric acid,,,Generic,,0,0,0,0,0,0,0,4,0,0,0,0,0,0,96.0,96.0,0.0,0.0,0.0,,,,,100,$2.43,$2.79,,,,$27.90,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Cloves, whole, raw (Davis)","Active, completed",Flavour,Dry,Cloves,whole,raw,Davis,P30,1580,6,20.1,4.39,27,27,,6.9,0,20,0,5,0,,93.1,40.0,0.0,29.5,23.5,,,Davis,,500,$17.22,$19.80,,,,$39.60,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Cocoa butter (Davis),,Chocolate,Wet,Cocoa butter,,,Davis,,"3,698",0,100,60,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,,,,,25000,"$1,360.25","$1,564.29",,,,$62.57,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cocoa mass (Callebaut),"Active, completed",Chocolate,Dry,Cocoa mass,,,Callebaut,,598,11.9,54,32.5,5.5,0.3,9.8,1.8,0,0.3,0,0,0,0,98.2,32.0,0.0,0.3,0.3,,,Reso Fine Foods,,2500,$82.75,$95.16,,,,$38.07,127.62,44,54,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Cocoa powder 11% (Davis),"Active, completed",Chocolate,Dry,Cocoa powder 11%,,,Davis,,1246,23.5,10.5,6.4,14.5,0.5,18.6,4.5,0,0.5,0,0,0,0,95.5,61.0,0.0,0.5,0.5,,,Davis,COCOAP,1000,$18.00,$20.70,22-May-2025,,,$20.70,161.55,85,11,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8kg
Cocoa powder 21% (Generic),"Inactive, incomplete",Chocolate,,Cocoa powder 21%,,,Generic,,,19.8,20.7,,,0,0,0,0,0,0,0,0,0,100.0,59.5,0.0,0.0,0.0,,,Pak n save,,,$0.00,,,,,#DIV/0!,161.37,79,21,,,,,,,,,,,,,,,,,,,,,,,,
"Cocoa powder, 11%, Blackened (Equagold)","Active, completed",Chocolate,Dry,"Cocoa powder, 11%, Blackened",,,Equagold,,1245,18,11,7,11.5,0.1,1,4.5,0,0.1,0,0,0,0,95.5,66.4,0.0,0.1,0.1,,,Equagold,,1000,$17.50,$20.13,,,,$20.13,161.82,84,11,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1kg
"Cocoa powder, 21%, Dutch (Equagold)","Active, completed",Chocolate,Dry,"Cocoa powder, 21%, Dutch",,,Equagold,,1569.1,19.5,21,12.8,11.1,0.9,150,4,0,0.9,0,0,0,0,96.0,54.5,0.0,0.9,0.9,,,Equagold,,1000,$25.50,$29.33,,,,$29.33,152.28,74,21,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1kg
Coconut cream (Honest Goodness),"Inactive, completed",Fruit,,Coconut cream,,,Honest Goodness,,924,2.1,22,20.6,3.6,3,27,68.8,0,3,0,0,0,0,31.2,4.1,0.0,3.0,3.0,,,Costco,,2400,$15.65,$18.00,,,,$7.50,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Coconut cream (Kara),"Inactive, completed",Other,,Coconut cream,,,Kara,,1081,0,26,24,4,4,40,66.2,0,4,0,0,0,0,33.8,3.8,0.0,4.0,4.0,,,Pak n Save,,400,$2.86,$3.29,,,,$8.23,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Coconut cream, UHT (Kara)","Active, completed",Fruit,Wet,"Coconut cream, UHT",,,Kara,,1029,2.7,24.5,23.4,4.4,3,322,66.12,0,3,0,0,0,0,33.9,3.4,0.0,3.0,3.0,,,Davis,COCC121,12000,$43.20,$49.68,,,,$4.14,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Coconut milk (Kara),"Inactive, completed",Other,,Coconut milk,,,Kara,,,2,17,,,3,33,74.3,0,3,0,0,0,0,25.7,3.7,0.0,3.0,3.0,,,Pak n save,,425,$2.51,$2.89,,,,$6.80,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5litres
"Coconut milk light, UHT (Kara)","Inactive, completed",Fruit,,"Coconut milk light, UHT",,,Kara,COCCML,553,1.3,12.6,11.9,3.6,2.8,42.3,84.39,0,2.8,0,0,0,0,15.6,0.0,0.0,2.8,2.8,,,Davis,COCCML,200,$1.28,$1.47,,,,$7.36,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Coconut milk, UHT (Kara)","Active, completed",Fruit,Wet,"Coconut milk, UHT",,,Kara,,743,2,17.8,16.9,2.9,2.2,13.3,74.3,0,2.2,0,0,0,0,25.7,3.7,0.0,2.2,2.2,,,Davis,COCM1,12000,$48.55,$55.83,,,,$4.65,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Coconut oil (Pams),"Active, completed",Oil,Wet,Coconut oil,,,Pams,J1039,3690,0,99.7,91,0,0,,0.8,0,0,0,0,0,,99.2,0.0,0.0,0.0,0.0,,,Pak n Save,,1000,$11.56,$13.29,,,,$13.29,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4kg
Coconut palm sugar (Daribell),"Inactive, incomplete",Sugar,,,,,,,,1.6,0,,,94,20,0,0,70.5,11.75,11.75,0,0,100.0,4.4,0.0,115.2,98.7,,,Home Supply,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Coconut puree,"Inactive, incomplete",Fruit,,Coconut,,puree,Generic,,,2,24,,,0,15,20,0,0,0,0,0,0,80.0,54.0,0.0,0.0,0.0,,,Reso Fine Food or Gaults Deli,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Coconut sugar,"Inactive, incomplete",Sugar,,,,,,,,0,0,,,93,0,0,0,93,0,0,0,0,100.0,7.0,0.0,93.0,93.0,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,"Inactive, incomplete",Other,,Coffee,,,,C1047,54,1.5,0.8,0,0,0,1,99.4,0,0,0,0,0,,0.6,0.0,0.0,0.0,0.0,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Coffee beans,"Active, completed",Dried Fruit,z.Infusion,Coffee beans,whole,,Karojoz,C7,,12.8,15.4,,,0.5,74,4.1,0,0.1,0.1,0.3,0,0,95.9,67.1,0.0,0.9,0.5,,,Pak n Save,,750,$19.99,$22.99,,,,$30.65,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7
"Coffee beans, whole (Eight-thirty)","Active, completed",Dried Fruit,z.Infusion,Coffee beans,whole,,Eight-thirty,C7,,12.8,15.4,,,0.5,74,4.1,0,0.1,0.1,0.3,0,0,95.9,67.1,0.0,0.9,0.5,,,Pak n Save,,1000,$40.00,$46.00,,,,$46.00,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Corn starch,"Active, incomplete",Stabilizer,,Corn starch,,,Generic,E9,1460,0.6,0.7,0.08,83.6,0,52,12.5,0,0,0,0,0,0,87.5,86.1,0.0,0.0,0.0,,,,,400,$1.38,$1.59,,,,$3.98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cream,"Active, completed",Dairy,Wet,Cream,,,Anchor,,1470,2.4,37.4,24.7,3,3,25,55,3,0,0,0,0,0,45.0,2.2,7.6,3.0,0.5,,,Pak n save,,2000,$14.35,$16.50,,,,$8.25,0,0,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Cream cheese,"Inactive, incomplete",Dairy,,Cream cheese,,,Generic,F12,1540,3.1,37.4,23,6.4,6.4,509,52.5,6.4,0,0,0,0,0,47.5,0.1,9.6,6.4,1.0,,,Gilmours,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cream cheese (Philadelphia),"Active, completed",Dairy,Wet,Cream cheese,,,Philadelphia,,1280,6.6,29.3,20.5,2.6,2.6,374,52.5,2.6,0,0,0,0,0,47.5,8.6,17.8,2.6,0.4,,,Pak N Save,,2000,$28.20,$32.43,,,,$16.22,0,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Cream, 1l (Pams)","Active, completed",Dairy,Wet,"Cream, 1l",,,Pams,,1440,2.4,36.3,24,3.1,3.1,26,55,3.1,0,0,0,0,0,45.0,3.2,8.7,3.1,0.5,,,Pak n save,,1000,$6.30,$7.25,,,,$7.25,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Cream, 2l (Anchor)","Active, completed",Dairy,Wet,"Cream, 2l",,,Anchor,,1470,2.4,37.4,24.7,3,3,25,55,3,0,0,0,0,0,45.0,2.2,7.6,3.0,0.5,,,Pak n save,,2000,$14.52,$16.70,,,,$8.35,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Crisp apple juice (Fresh up),"Inactive, incomplete",Flavour,,Crisp apple juice,,,Fresh up,C1167,170,0,0,0,9.7,9.6,0,89.3,0,1.8,5.8,2,0,0,10.7,1.1,0.0,16.6,13.1,,,,,,$0.00,,,,,#DIV/0!,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Cucumber, telegraph, flesh and skin, raw","Active, completed",Vegetable,Wet,"Cucumber, telegraph",flesh and skin,raw,,X1052,51,0.8,0,0,1.9,1.8,,96.6,0,0,1,0.8,0,0,3.4,0.8,0.0,3.4,2.3,,,Pak n Save,,500,$1.91,$2.20,,,,$4.40,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Desiccated Coconut,"Active, completed",Fruit,Dry,Coconut,,desiccated,Generic,Q1055,2890,7.3,67.8,63.8,8.3,8.3,29,1.9,0,8.1,0.2,0,0,0,98.1,14.7,0.0,8.5,8.4,,,Pak n save,,500,$3.47,$3.99,,,,$7.98,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,
Dextrose,"Active, completed",Sugar,Dry,Dextrose,,,Davis,,1554,0.1,0,,91.4,91.4,0,9,0,0,0,0,0,91.4,92.0,0.5,0.0,158.0,58.2,,,Davis,DEX25,25000,$54.73,$62.94,22-May-2025,,,$2.52,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,25kg
"Durian, flesh, frozen (Essente)","Active, completed",Fruit,Wet,Durian,flesh,frozen,Essente,,140,1,0,0,7,2.8,5,17,0,0,2.8,0.0,0,0,83.0,79.2,0.0,5.3,4.8,,,Davis,DURIF,500,$14.78,$17.00,,,,$34.00,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Earl Grey,"Active, completed",Flavour,Dry,Earl Grey,,,Dilmah,,0,0,0,,,0,0,0,0,0,0,0,0,0,100.0,100.0,0.0,0.0,0.0,,,Pak n Save,,200,$5.65,$6.50,,,,$32.50,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Earl grey infusion,"Active, completed",Mix-in,z.Infusion,Earl grey infusion,,,Homemade,,272.44,0.00,0.00,0.00,16.03,16.03,1.60,#N/A,#N/A,100.0,#N/A,#REF!,#REF!,#REF!,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$5.91,$6.80,,,,$6.80,,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Egg white, white, raw (Generic)","Active, completed",Other,Wet,Egg white,white,raw,Generic,,72,4.2,0,0,0.1,0.1,65,30,0,0,0,1,0,0,70.0,65.6,0.0,1.9,0.7,,,Pak n Save,,1,$0.61,$0.70,,,,$0.70,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Egg, raw","Active, completed",Other,Wet,Egg,whole,raw,Generic,G1016,548,12.9,8.8,2.67,0.3,0.3,147,75.9,0,0,0,0.3,0,0,24.1,2.0,0.0,0.6,0.2,,,Pak n save,,990,$10.96,$12.60,22-May-2025,,,$12.73,0,,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Egg, yolk, raw (Generic)","Active, completed",Other,Wet,Egg,yolk,raw,Generic,G1017,1400,16,29.3,0.2,0.2,0.2,58,52.3,0,0,0,0.2,0,0,47.7,2.1,0.0,0.4,0.1,0,150,Pak n save,,270,$10.96,$12.60,22-May-2025,,,$46.67,0,,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Espresso (Generic),"Active, completed",Flavour,Dry,Espresso,,,Generic,C1045,54,1.5,0.8,0,0,0,0,96.3,0,0,0,0,0,0,3.7,1.4,0.0,0.0,0.0,,,Pak n Save,,60,$0.97,$1.11,,,,$18.51,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Feijoa, flesh, raw","Active, completed",Fruit,Wet,Feijoa,flesh,raw,Generic,L67,220,0.6,0.3,,,12.5,30,85.4,0,8.4,2.1,1.9,0,0.0,14.6,1.2,0.0,16.2,13.4,,,Pak n Save,,1000,$10.42,$11.98,,5.99,50%,$11.98,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Fibre,"Active, completed",Stabilizer,Dry,Fibre,,,Orafti,,776,0,0,0,0,0,0,0.5,0,0,0,0,0,0,99.5,99.5,0.0,65.0,10.0,,,Davis,ORAFTI,20000,$275.00,$316.25,,,,$15.81,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,18.75
"Flour, Gluten Free (Davis)","Active, completed",Other,Dry,"Flour, Gluten Free",,,Davis,E1093,1400,3,0.8,0.25,77,0,,11.7,0,0,0,0,0,,88.3,84.5,0.0,0.0,0.0,,,Davis,,1000,$6.31,$7.26,22-May-2025,,,$7.26,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Flour, standard","Active, completed",Other,Dry,"Flour, 'standard'",,,Generic,E1088,1450,11.3,1.7,0.3,69.1,2.6,5,13.2,0,2,0,0,0,0,86.8,71.2,0.0,2.0,2.0,,,Pak n save,,1500,$1.82,$2.09,,,,$1.39,0,,0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Fructose,"Inactive, incomplete",Sugar,,Fructose,,,Generic,,,0,0,,,100,0,0,0,,,,0,,100.0,0.0,0.0,0.0,0.0,,,,,,$0.00,,,,,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Garam Masala,"Inactive, incomplete",Flavour,,Garam Masala,,ground,,,,,,,,,0,,,,,,,,,0.0,0.0,0.0,,,,Pak n Save,,45,$2.98,$3.43,,,,$76.16,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Ghee (Kashish),"Active, completed",Dairy,Wet,Ghee,,,Kashish,,544,0,99.7,69.9,0,0,0,0.5,0,0,0,0,0,0,99.5,-0.2,0.0,0.0,0.0,,,Patel Brothers,,1000,$14.77,$16.99,,,,$16.99,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Gin (Beefeater),"Active, completed",Alcohol,,Gin,,,Beefeater,,,,,,,,,,,,,,40,,100.0,100.0,0.0,296.0,0.0,,,,,,,,,,,#DIV/0!,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ginger mou,"Active, completed",Mix-in,z.Topping,Ginger mou,,,Homemade,,1772.89,0.95,21.47,13.89,2.15,54.88,90.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$5.91,$6.80,,,,$6.80,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Ginger mou (vegan),"Active, completed",Mix-in,z.Topping,Ginger mou (vegan),,,Homemade,,1639.42,0.72,18.49,16.79,53.86,50.28,15.88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$9.16,$10.53,,,,$10.53,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Ginger slice,"Active, completed",Mix-in,z.Topping,Ginger slice,,,Homemade,,2018.96,1.06,27.36,17.32,56.24,29.95,202.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$6.32,$7.27,,,,$7.27,,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Ginger slice (vegan),"Active, completed",Mix-in,z.Topping,Ginger slice (vegan),,,Homemade,,2183.31,1.12,31.11,28.22,59.31,31.59,18.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$7.07,$8.13,,,,$8.13,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Ginger, flesh, raw","Inactive, incomplete",Vegetable,,Ginger,flesh,raw,,X273,127,0.9,0.4,0,4.8,1.7,11,90.4,0,0,0.9,0.8,0,0,9.6,6.6,0.0,3.2,2.1,,,Pak N Save,,,$0.00,,,,,#DIV/0!,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Ginger, ground (Essente)","Active, completed",Flavour,Dry,Ginger,,ground,Essente,P4,1310,7.4,3.3,1.2,56.4,19.8,,9.4,0,0,10.2,9.6,0,,90.6,60.1,0.0,37.6,24.1,,,Davis,GINGPOP,50,$2.47,$2.84,,,,$56.80,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Ginger, raw, peeled","Inactive, incomplete",Other,,Ginger,,peeled,Generic,X273,,0.9,0.4,,,1.7,11,90.4,0,0,0.9,0.8,0,0,9.6,6.6,0.0,3.2,2.1,3,5,Pak n save,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Glucose,"Inactive, incomplete",Sugar,,Glucose,,,Equagold,,,0,0,,,100,0,0,0,,,100,0,,100.0,0.0,0.0,190.0,70.0,,,Equagold,,5000,$49.41,$56.82,,,,$11.36,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Glucose syrup 38-42 DE,"Inactive, incomplete",Sugar,,,,,,,,0,0,,,30.3,100,22.1,0,0,0,#REF!,0,0,77.9,47.5,0.0,#REF!,50.0,38,75,Davis,GLUCCP,1000,$7.00,$8.05,,,,$8.05,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,
Glutinous rice flour (Hungcheong),"Inactive, incomplete",Grain,,,,,,,,,,,,,0,,,,,,,,100.0,100.0,0.0,0.0,0.0,,,Taiping,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
"Glutinous rice, cooked (Cock brand)","Inactive, incomplete",Grain,,Glutinous rice,,boiled,Cock,,,8.7,3.9,,,0,50,58,0,0,0,0,0,0,42.0,29.4,0.0,0.0,0.0,,,Taiping,,1000,$6.43,$7.39,,,,$7.39,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Gochujang,"Active, completed",Other,Wet,Gochujang,,,,,950,6.4,2.8,0.6,44.2,22.9,2440,50,0,22.9,0,0,0.5,0,50.0,15.5,0.0,26.6,,,,Tai Ping,,500,$4.90,$5.63,,,,$11.26,0,,0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Gochujang mou,"Active, completed",Mix-in,z.Topping,Gochujang mou,,,Homemade,,1625.26,1.96,17.66,11.18,54.93,50.20,609.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,#N/A,#N/A,,,Home made,,1000,$5.51,$6.33,,,,$6.33,,,0,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Golden Syrup (Chelsea),"Active, completed",Sugar,Wet,Golden Syrup,,,Chelsea,W25,1360,0.3,0,,79.5,66.6,200,18.2,0,0.04,19.59,22.64,0,0,81.8,14.7,0.0,80.3,49.2,,,Pak n save,,1000,$6.51,$7.49,,,,$7.49,0,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
"Gorgonzola, piccante (Ghiotti)","Active, completed",Dairy,Wet,"Gorgonzola, piccante",,,Ghiotti,,1293,21,25,18.7,0,0,848,42.5,0,0,0,0,0,0,57.5,10.7,31.7,0.0,0.0,,,Pak N Save,,150,$4.35,$5.00,,,,$33.33,0,,0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Granny smith juice (The Apple Press),"Active, completed",Fruit,Wet,Granny smith juice,,,The Apple Press,,207,0.2,0.3,0.3,11.4,11.4,1.6,87.3,0,0,11.4,0,0,0,12.7,0.0,0.0,21.7,19.4,,,Pak n Save,,800,$4.34,$4.99,,,,$6.24,,,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Green chile sauce (Culley's),"Inactive, incomplete",Flavour,,Green chile sauce,,,Culley's,,250,1.3,0,0,11.7,11,575,71.7,0,11,0,0,0,0,28.3,15.4,0.0,11.0,11.0,,,,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Hazelnut paste prelibata (Rubicone),"Active, completed",Dried Fruit,Wet,Hazelnut paste prelibata,,,Rubicone,,2479,17.21,60.79,5.78,7,1.21,0,4.6,0,1.21,0.1,0.2,0,0,95.4,16.2,0.0,1.8,1.5,,,Majors (Prelibata hazelnut) ; Hazelnut paste 100% 188.68 for 3kg,,5000,$172.86,$198.79,,,,$39.76,85.106,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,5kg
Hazelnut paste Trilobata (Fructital),"Active, completed",Dried Fruit,Wet,Hazelnut paste Trilobata,,,Fructital,,2724,14,64,4.2,6.1,4.1,0.02,4,0,4.1,0.1,0.2,0,0,96.0,13.9,0.0,4.7,4.4,,,Pacific Ingredients,,1000,$67.00,$77.05,,,,$77.05,89.6,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,
Hazelnuts,"Inactive, incomplete",Dried Fruit,,Hazelnut,whole,dry roasted,Generic,,,,,,,,0,,,,,,,,,,0.0,0.0,,,,Pak n save,,,$0.00,,,,,#DIV/0!,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
Hojicha,"Inactive, incomplete",Flavour,Other,Matcha,,ground,Thea,,,,,,,,,,,,,,,,,0.0,,,,,,Thea,,250,$55.00,$63.25,,,,$253.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,
